,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
1939,United Kingdom,Standard Room,1 night ,August 2020,Family,,,10,excellent
1940,United Kingdom,Superior Room,1 night ,August 2020,Couple,,,8.0,Very Good
1941,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1942,United Kingdom,Premium Room,1 night ,August 2020,Couple,,,8.0,Very Good
1943,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,9.0,Wonderful
1944,United Kingdom,Standard Room,1 night ,August 2020,Solo traveler,,,10,Exceptional
1945,United Kingdom,Junior Suite,1 night ,August 2020,Group,,,9.0,Wonderful
1946,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,8.0,Very Good
1947,United Kingdom,Standard Room,1 night ,August 2020,Group,,,9.0,Wonderful
1948,United Kingdom,Superior Room,1 night ,August 2020,Couple,,,8.0,Very Good
1949,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,9.0,Wonderful
1950,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1951,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1952,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1953,United Kingdom,Standard Room,2 nights ,July 2020,Couple,,,10,Exceptional
1954,United Kingdom,Junior Suite,2 nights ,July 2020,Couple,,,10,Exceptional
1955,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,9.0,Wonderful
1956,United Kingdom,Superior Room,1 night ,August 2020,Couple,,,10,Exceptional
1957,United Kingdom,Standard Room,1 night ,August 2020,Group,,,8.0,Very Good
1958,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,8.0,Very Good
1959,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1960,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1961,United Kingdom,Standard Room,1 night ,July 2020,Couple,,,8.0,Very Good
1962,United Kingdom,Standard Room,1 night ,July 2020,Family,,,10,Exceptional
1963,United Kingdom,Premium Room,1 night ,July 2020,Couple,,,10,Exceptional
1964,United Kingdom,Standard Room,1 night ,July 2020,Couple,,,10,Exceptional
1965,United Kingdom,Standard Room,1 night ,July 2020,Solo traveler,,,9.0,Wonderful
1966,United Kingdom,Standard Room,1 night ,July 2020,Couple,,,8.0,Very Good
1967,United Kingdom,Standard Room,1 night ,July 2020,Family,,,10,Excellent
1968,United Kingdom,Junior Suite,1 night ,July 2020,Couple,,,10,Exceptional
1969,United Kingdom,Corner Suite,1 night ,July 2020,Couple,,,8.0,Very Good
1970,United Kingdom,Standard Room,1 night ,July 2020,Couple,,,9.0,Wonderful
1971,United Kingdom,Standard Room,1 night ,July 2020,Couple,,,10,Exceptional
1972,United Kingdom,Standard Room,1 night ,July 2020,Couple,,,10,Exceptional
1973,United Kingdom,Standard Room,1 night ,July 2020,Couple,,,10,Exceptional
1974,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,10,Exceptional
1975,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,8.0,Very Good
1976,United Kingdom,Corner Suite,1 night ,March 2020,Solo traveler,,,10,Exceptional
1977,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,10,Exceptional
