,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
3721,United Kingdom,Standard Room,1 night ,October 2018,Couple, Proximity to airport,,10,"Recommended by a friend, comfy bed, easy access to airport"
3722,Australia,Standard Room,1 night ,October 2018,Family, Comfort and quiet room, Room service food was awful.,9.2,Wonderful
3723,United Kingdom,Superior Room with Runway View,1 night ,October 2018,Couple,, Expensive bar and restaurant,8.3,Very Good
3724,Australia,Standard Room,1 night ,October 2018,Family," Fast and efficient check in.  Food in restaurant good value. Restaurant and Bar staff very good.
Easy access to all Termk. Als at Manchester Airpor.
Special mention to the bellmen. Very helpful", Nothjng,10,Excellent
3725,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple," The room was fabulous, very clean and tidy with plenty of space. Love being that close to the airport, very convenient to have a good night's sleep then be able to walk to check-in."," The pillows are too floppy, woke up with neck  ache as they didn't provide any support,  Could have done with different firmness of  pillows in the cupboard to choose from. Everything else was perfect",9.6,Exceptional
3726,United Kingdom,Standard Room,1 night ,October 2018,Group, Fabulous comfy bed and large rooms.," Restaurant dinner was very expensive, especially as two of our party only had salad. but it was good start to a holiday.",9.6,Quality stopver when off to the airport.
3727,United Kingdom,Superior Room with Runway View,1 night ,October 2018,Couple, It was close to airport - simply walked across the bridge., Prices in the bar and restaurant are high.,9.6,Convenient for airport
3728,United Kingdom,Standard Room,1 night ,October 2018,Solo traveler," Bed was huge and super comfy.
very clean large room", N?A,10,"ideally located for airport terminals, friendly staff, lovely room.  Would stay again"
3729,Oman,Standard Room,1 night ,October 2018,Group," Every think was brilliant, no comments .",,10,Exceptional
3730,United States of America,Standard Room,1 night ,September 2018,Couple,, Very disappointed in the food and drinks at the dinner restaurant.,8.3,Very Good
3731,Ireland,Standard Room,1 night ,October 2018,Couple, Location and modern," I was over charged €62 and now the raddle on cannot access there software to refund me,even though booking.com has made them aware of this,how confident",7.9,Good
3732,Philippines,Standard Room,1 night ,October 2018,Couple, Comfortable room very quiet and good food thanks regards Brian Leadbetter,,10,Exceptional
3733,United Kingdom,Standard Room,1 night ,October 2018,Couple, Location for airport, Pillows could be firmer,7.5,Good
3734,United Kingdom,Standard Room,1 night ,October 2018,Couple, Very comfortabke bed and excellent breakfast with a great location . Which is why we always book Radisson Blue even though it cost more than othet Airport Hotels., The cost 9f food and drink is too high so we always eat at The Airport Pub instead.,9.6,A great way to start or end ypur Holiday.
3735,United Kingdom,Standard Room,1 night ,October 2018,Couple, Conveince for Terminal 1., Expensive drinks and food.,8.8,Convenient and comfortable beds.
